Band Number,Mainland.or.Island,Retrap,Date,Wing,Tail,Tarsus,Weight,Ssp,,
01C35971,Mainland,N,11062022,59.5,43.5,16.9,10,Zosterops_lateralis_cornwalli,,
NA,Mainland,N,10072022,60,43,16.9,10,Zosterops_lateralis_cornwalli,,
NA,Mainland,N,10072022,60,43,16.9,10,Zosterops_lateralis_cornwalli,,
01A31766,Mainland,NA,11092013,59,49.5,16.9,9,Zosterops lateralis cornwalli,,
01A31767,Mainland,NA,11092013,60.5,44.6,16.9,8.5,Zosterops lateralis cornwalli,,
01A31669,Mainland,NA,16082012,58.5,42,16.86,11,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,60,44,16.85,9.5,Zosterops lateralis cornwalli,,
01C35972,Mainland,N,11062022,58,43,16.8,12.3,Zosterops_lateralis_cornwalli,,
01C35972,Mainland,N,11062022,58,43,16.8,12.3,Zosterops_lateralis_cornwalli,,
no band,Mainland,NA,03061998,61,45,16.8,11.5,Zosterops lateralis cornwalli,,
01C36238,Mainland,N,04072022,58,43,16.8,11.2,Zosterops_lateralis_cornwalli,,
01C36238,Mainland,N,04072022,58,43,16.8,11.2,Zosterops_lateralis_cornwalli,,
no band,Mainland,NA,03061998,60,42,16.8,10.5,Zosterops lateralis cornwalli,,
01C01684,Mainland,NA,18052022,57,42,16.8,10.3,Zosterops_lateralis_cornwalli,,
01C01684,Mainland,NA,18052022,57,42,16.8,10.3,Zosterops_lateralis_cornwalli,,
01C-35875,Mainland,N,18/06/2022,57,42,16.8,10.1,Zosterops_lateralis_cornwalli,,
01C-35875,Mainland,N,18/06/2022,57,42,16.8,10.1,Zosterops_lateralis_cornwalli,,
01A31770,Mainland,NA,02122013,59,43.5,16.8,10,Zosterops lateralis cornwalli,,
NA,Mainland,N,10072022,60.5,44,16.8,9.5,Zosterops_lateralis_cornwalli,,
NA,Mainland,N,10072022,60.5,44,16.8,9.5,Zosterops_lateralis_cornwalli,,
01C36249,Mainland,N,04072022,58,49,16.7,11.8,Zosterops_lateralis_cornwalli,,
01C36249,Mainland,N,04072022,58,49,16.7,11.8,Zosterops_lateralis_cornwalli,,
01A31694,Mainland,NA,01022013,59,44,16.7,11.2,Zosterops lateralis cornwalli,,
01C35966,Mainland,N,11062022,59.5,42,16.7,11.1,Zosterops_lateralis_cornwalli,,
01C35966,Mainland,N,11062022,59.5,42,16.7,11.1,Zosterops_lateralis_cornwalli,,
01C36241,Mainland,N,04072022,59,43,16.7,10.9,Zosterops_lateralis_cornwalli,,
01C36241,Mainland,N,04072022,59,43,16.7,10.9,Zosterops_lateralis_cornwalli,,
01C01698,Mainland,N,30072022,58,44,16.7,10.7,Zosterops_lateralis_cornwalli,,
01C01698,Mainland,N,30072022,58,44,16.7,10.7,Zosterops_lateralis_cornwalli,,
01C-39730,Mainland,N,23/07/2022,57,43,16.7,9.5,Zosterops_lateralis_cornwalli,,
01C-39730,Mainland,N,23/07/2022,57,43,16.7,9.5,Zosterops_lateralis_cornwalli,,
no band,Mainland,NA,03061998,60,42,16.65,11.5,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,61.5,45,16.6,11,Zosterops lateralis cornwalli,,
01C36250,Mainland,N,07072022,59,43,16.6,10.7,Zosterops_lateralis_cornwalli,,
01C36250,Mainland,N,07072022,59,43,16.6,10.7,Zosterops_lateralis_cornwalli,,
01A31919,Mainland,NA,06032013,60,48,16.6,10.2,Zosterops lateralis cornwalli,,
01C01683,Mainland,NA,18052022,58,44,16.5,11.2,Zosterops_lateralis_cornwalli,,
01C01683,Mainland,NA,18052022,58,44,16.5,11.2,Zosterops_lateralis_cornwalli,,
NA,Mainland,N,10072022,63,46,16.5,11,Zosterops_lateralis_cornwalli,,
