Chick ID ,band.n,nest,clutch.size,hatch.date,band.date,day,wing,tail,tarsus,post.cul.length,ant.cul.length,ant.cul.depth,ant.cul.width,digital weight,pin.length,feather.length,feather.total.length,feathered.ratio,Day of pin break ,Mainland or Island,,
L1,12189,29,,,29,8,30.3,,16.5,,,,,10,,,,,,0,,
R1,12190,29,,,29,8,33.5,,18.3,,,,,10.5,,,,,,0,,
L1,12189,29,,,29,6,19,,13.9,,,,,7.5,,,,,,0,,
R1,12190,29,,,29,6,25,,16.1,,,,,9,,,,,,0,,
L1,12189,29,,,29,5,14.7,,11.9,,,,,6,,,,,,0,,
R1,12190,29,,,29,5,18.8,,14,,,,,8,,,,,,0,,
L1,12189,29,,,29,2,5.9,,7.4,,,,,3.5,,,,,,0,,
R1,12190,29,,,29,2,7.4,,8.9,,,,,4,,,,,,0,,
L1,12196,30,,,30,8,37,,18,,,,,10,,,,,,0,,
R1,12194,30,,,30,8,32.2,,17,,,,,8.5,,,,,,0,,
R2,12195,30,,,30,8,29.1,,16.3,,,,,8.5,,,,,,0,,
L1,12196,30,,,30,6,28.7,,16.1,,,,,9.5,,,,,,0,,
R1,12194,30,,,30,6,23.2,,14.1,,,,,7.5,,,,,,0,,
R2,12195,30,,,30,6,20.9,,13.8,,,,,7.5,,,,,,0,,
L1,12196,30,,,30,4,18.1,,13,,,,,6.5,,,,,,0,,
R1,12194,30,,,30,4,11.9,,10.5,,,,,5.5,,,,,,0,,
R2,12195,30,,,30,4,11.6,,10.3,,,,,5.5,,,,,,0,,
L1,12196,30,,,30,2,9.7,,9.4,,,,,4.5,,,,,,0,,
R1,12194,30,,,30,2,5.9,,6.7,,,,,3,,,,,,0,,
R2,12195,30,,,30,2,6,,7,,,,,3.5,,,,,,0,,
L1,12211,36,,,36,6,32.8,,17.9,,,,,11,,,,,,0,,
R1,12212,36,,,36,6,27.2,,16.5,,,,,9,,,,,,0,,
R2,12213,36,,,36,6,32.2,,18.5,,,,,11,,,,,,0,,
L1,12211,36,,,36,4,23.9,,15.5,,,,,9.5,,,,,,0,,
R1,12212,36,,,36,4,17.1,,13.6,,,,,7,,,,,,0,,
